"project","organization","location","recording_date","recording_time","status","latitude","longitude","buffer_radius_m","species_code","scientific_name","species_english_name","method","rain","wind","noise","industry_noise","audio_quality","species_individual_name","transcriber","abundance","confidence","min0_voc","min0_start","min0_freq_range","min0_tag_duration","min1_voc","min1_start","min1_freq_range","min1_tag_duration","min2_voc","min2_start","min2_freq_range","min2_tag_duration","min3_voc","min3_start","min3_freq_range","min3_tag_duration","min4_voc","min4_start","min4_freq_range","min4_tag_duration","min5_voc","min5_start","min5_freq_range","min5_tag_duration","min6_voc","min6_start","min6_freq_range","min6_tag_duration","min7_voc","min7_start","min7_freq_range","min7_tag_duration","min8_voc","min8_start","min8_freq_range","min8_tag_duration","min9_voc","min9_start","min9_freq_range","min9_tag_duration","comment","species_comment","source_file_name"
"ABMI Ecosystem Health 2015","ABMI","512-NW","2015-05-20","5:57:00","Transcribed",56.56314,-110.742599,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,2,0,0,"No audio quality issues",1,"Natalie Sanchez","ONE","Confident","Song","17.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0512-NW_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","514-SE","2015-05-20","5:57:00","Transcribed",56.463573,-110.06503,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","Song","11.5","2.24kHz to 7.84kHz","2.56","Song","1.5","2.24kHz to 7.84kHz","2.56","Song","3.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0514-SE_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","825-NW","2015-05-20","5:57:00","Transcribed",54.811954,-111.665276,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Connor Charchuk","ONE","Confident","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","4.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0825-NW_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","825-NW","2015-05-20","5:57:00","Transcribed",54.811954,-111.665276,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",2,"Connor Charchuk","ONE","Confident","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","10.5","2.24kHz to 7.84kHz","2.56","Song","8.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0825-NW_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","825-NW","2015-05-20","5:57:00","Transcribed",54.811954,-111.665276,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",3,"Connor Charchuk","ONE","Confident","Song","2.5","2.24kHz to 7.84kHz","2.56","Song","3.5","2.24kHz to 7.84kHz","2.56","Song","7.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0825-NW_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","856-SE","2015-05-20","5:57:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","","","","","","","","","Song","41.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0856-SE_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","857-SW","2015-05-20","5:57:00","Transcribed",54.640964,-111.759758,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Connor Charchuk","ONE","Confident","Song","2.5","2.24kHz to 7.84kHz","2.56","Song","2.5","2.24kHz to 7.84kHz","2.56","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-SW_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","857-SW","2015-05-20","5:57:00","Transcribed",54.640964,-111.759758,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",2,"Connor Charchuk","ONE","Confident","","","","","Song","6.5","2.24kHz to 7.84kHz","2.56","Song","0.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-SW_0+1_20150520_055700.wac"
"ABMI Ecosystem Health 2015","ABMI","359-NW","2015-05-21","5:55:00","Transcribed",57.454883,-111.054222,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,2,0,1,"No audio quality issues",1,"Graeme Nordell","ONE","Confident","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","19.5","2.24kHz to 7.84kHz","2.56","Song","2.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0359-NW_0+1_20150521_055500.wac"
"ABMI Ecosystem Health 2015","ABMI","359-NW","2015-05-21","5:55:00","Transcribed",57.454883,-111.054222,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,2,0,1,"No audio quality issues",2,"Graeme Nordell","ONE","Confident","Song","15.5","2.24kHz to 7.84kHz","2.56","Song","17.5","2.24kHz to 7.84kHz","2.56","Song","18.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0359-NW_0+1_20150521_055500.wac"
"ABMI Ecosystem Health 2015","ABMI","388-NE","2015-05-21","5:55:00","Transcribed",57.341125,-111.48172,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,2,"Other issues",1,"Scott Wilson","ONE","Confident","Song","7.5","2.24kHz to 7.84kHz","2.56","Song","4.5","2.24kHz to 7.84kHz","2.56","Song","11.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0388-NE_0+1_20150521_055500.wac"
"ABMI Ecosystem Health 2015","ABMI","574-NW","2015-05-21","5:55:00","Transcribed",56.174919,-110.90043,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",1,"Alex MacPhail","ONE","Confident","Song","6.5","2.24kHz to 7.84kHz","2.56","Song","5.5","2.24kHz to 7.84kHz","2.56","Song","1.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0574-NW_0+1_20150521_055500.wac"
"ABMI Ecosystem Health 2015","ABMI","792-NW","2015-05-21","5:55:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Michelle Knaggs","ONE","Confident","Song","11.5","2.24kHz to 7.84kHz","2.56","Song","11.5","2.24kHz to 7.84kHz","2.56","Song","12.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0792-NW_0+1_20150521_055500.wac"
"ABMI Ecosystem Health 2015","ABMI","OG-ABMI-927-21-3","2015-05-21","5:55:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Connor Charchuk","ONE","Confident","","","","","Song","46.5","2.24kHz to 7.84kHz","2.56","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-OG-0927-21-3_20150521_055500.wac"
"ABMI Ecosystem Health 2015","ABMI","15-SE","2015-05-22","5:54:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Alex MacPhail","ONE","Confident","Song","1.5","2.24kHz to 7.84kHz","2.56","Song","2.5","2.24kHz to 7.84kHz","2.56","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0015-SE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","15-SE","2015-05-22","5:54:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",2,"Alex MacPhail","ONE","Confident","Song","18.5","2.24kHz to 7.84kHz","2.56","Song","32.5","2.24kHz to 7.84kHz","2.56","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Higher pitchedINCOMPLETE DUE TO TIME CONSTRAINT","ABMI-0015-SE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","264-NE","2015-05-22","5:54:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues",1,"Connor Charchuk","ONE","Confident","Song","10.5","2.24kHz to 7.84kHz","2.56","Song","3.5","2.24kHz to 7.84kHz","2.56","Song","8.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0264-NE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","264-NE","2015-05-22","5:54:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues",2,"Connor Charchuk","ONE","Confident","Song","13.5","2.24kHz to 7.84kHz","2.56","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","11.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0264-NE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","264-SW","2015-05-22","5:54:00","Transcribed",58.253811,-113.129601,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","Song","5.5","2.24kHz to 7.84kHz","2.56","Song","4.5","2.24kHz to 7.84kHz","2.56","Song","48.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0264-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","264-SW","2015-05-22","5:54:00","Transcribed",58.253811,-113.129601,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues",2,"Nicole Boucher","ONE","Confident","Song","8.5","2.24kHz to 7.84kHz","2.56","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","11.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0264-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","264-SW","2015-05-22","5:54:00","Transcribed",58.253811,-113.129601,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues",3,"Nicole Boucher","ONE","Confident","Song","13.5","2.24kHz to 7.84kHz","2.56","Song","9.5","2.24kHz to 7.84kHz","2.56","Song","5.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0264-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","264-SW","2015-05-22","5:54:00","Transcribed",58.253811,-113.129601,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues",4,"Nicole Boucher","ONE","Confident","Song","14.5","2.24kHz to 7.84kHz","2.56","Song","6.5","2.24kHz to 7.84kHz","2.56","Song","6.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0264-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","413-SE","2015-05-22","5:54:00","Transcribed",57.323272,-113.110275,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","","","","","Song","53.5","2.24kHz to 7.84kHz","2.56","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0413-SE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","512-SW","2015-05-22","5:54:00","Transcribed",56.56314,-110.742599,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","Song","2.5","2.24kHz to 7.84kHz","2.56","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","13.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0512-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","512-SW","2015-05-22","5:54:00","Transcribed",56.56314,-110.742599,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",2,"Nicole Boucher","ONE","Confident","Song","10.5","2.24kHz to 7.84kHz","2.56","Song","4.5","2.24kHz to 7.84kHz","2.56","Song","12.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0512-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","512-SW","2015-05-22","5:54:00","Transcribed",56.56314,-110.742599,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",3,"Nicole Boucher","ONE","Confident","Song","9.5","2.24kHz to 7.84kHz","2.56","Song","54.5","2.24kHz to 7.84kHz","2.56","Song","20.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0512-SW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","543-SE","2015-05-22","5:54:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,1,"Unbalanced Channels",1,"Graeme Nordell","ONE","Confident","Song","0.5","2.24kHz to 7.84kHz","2.56","","","","","Song","11.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0543-SE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","856-NW","2015-05-22","5:54:00","Transcribed",54.65763,-112.058853,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,2,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","","","","","Song","40.5","2.24kHz to 7.84kHz","2.56","Song","11.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0856-NW_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","857-SE","2015-05-22","5:54:00","Transcribed",54.640964,-111.75976,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","Song","8.5","2.24kHz to 7.84kHz","2.56","Song","1.5","2.24kHz to 7.84kHz","2.56","Song","28.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-SE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","857-SE","2015-05-22","5:54:00","Transcribed",54.640964,-111.75976,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",2,"Nicole Boucher","ONE","Confident","","","","","","","","","Song","19.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-SE_0+1_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","OG-ABMI-825-21-4","2015-05-22","5:54:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","","","","","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","9.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-OG-0825-21-4_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","OG-ABMI-927-21-2","2015-05-22","5:54:00","Transcribed",54.081009,-110.451973,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",1,"Alex MacPhail","ONE","Confident","Song","0.5","2.24kHz to 7.84kHz","2.56","Song","41.5","2.24kHz to 7.84kHz","2.56","Song","6.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-OG-0927-21-2_20150522_055400.wac"
"ABMI Ecosystem Health 2015","ABMI","236-SW","2015-05-23","5:53:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues",1,"Emily Upham-Mills","ONE","Confident","Song","9.5","2.24kHz to 7.84kHz","2.56","Song","4.5","2.24kHz to 7.84kHz","2.56","Song","2.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0236-SW_0+1_20150523_055300.wac"
"ABMI Ecosystem Health 2015","ABMI","266-NW","2015-05-23","5:53:00","Transcribed",58.205688,-112.512741,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,1,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","","","","","Song","52.5","2.24kHz to 7.84kHz","2.56","Song","15.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0266-NW_0+1_20150523_055300.wac"
"ABMI Ecosystem Health 2015","ABMI","443-NW","2015-05-23","5:53:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,1,"No audio quality issues",1,"Alex MacPhail","ONE","Confident","Song","5.5","2.24kHz to 7.84kHz","2.56","Song","13.5","2.24kHz to 7.84kHz","2.56","Song","19.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0443-NW_0+1_20150523_055300.wac"
